Id,0:SPI: MOSI data
1,2
2,0
3,4
4,2
5,0
6,1
7,2
8,0
9,0
10,2
11,8D
12,11
13,2
14,B9
15,0
16,2
17,C4
18,70
19,2
20,C9
21,1
22,2
23,EC
24,92
25,2
26,F1
27,BB
28,2
29,F3
30,44
31,3
32,B5
33,FF
34,3
35,B6
36,7
37,3
38,B9
39,1
40,3
41,BA
42,0
43,3
44,BB
45,2
46,3
47,BC
48,0
49,2
50,0
51,24
52,2
53,1
54,80
55,2
56,0D
57,0
58,2
59,0E
60,0
61,2
62,0F
63,0
64,2
65,10
66,0
67,2
68,32
69,0
70,2
71,33
72,0
73,2
74,34
75,5
76,2
77,35
78,0
79,2
80,3F
81,0
82,2
83,5A
84,13
85,2
86,60
87,4
88,2
89,63
90,20
91,2
92,6C
93,4
94,4
95,70
96,70
97,4
98,72
99,10
100,2
101,11
102,0
,从这里开始，4个一组（猜测是进入到了传感器模式配置）
103,2
104,2
105,0
106,0
107,2
108,4
109,0
110,0
111,2
112,6
113,2C
114,0B
115,2
116,75
117,AB
118,4
119,2
120,77
121,AB
122,4
123,2
124,2
125,0
126,0
127,2
128,4
129,0
130,0
131,2
132,6
133,BC
134,0A
135,2
136,75
137,AB
138,4
139,2
140,77
141,AB
142,4
143,2
144,4
145,0
146,0
147,2
148,6
149,6A
150,0A
151,2
152,4
153,0
154,0
155,2
156,6
157,F8
158,9
159,2
160,75
161,AB
162,4
163,2
164,77
165,AB
166,4
167,2
168,4
169,0
170,0
171,2
172,6
173,54
174,9
175,2
176,75
177,AB
178,4
179,2
180,77
181,AB
182,4
183,2
184,4
185,0
186,0
187,2
188,6
189,88
190,8
191,2
192,75
193,AB
194,4
195,2
196,77
197,AB
198,4
199,2
200,4
201,0
202,0
203,2
204,6
205,AC
206,7
207,2
208,75
209,AB
210,4
211,2
212,77
213,AB
214,4
215,2
216,4
217,0
218,0
219,2
220,6
221,C4
222,6
223,2
224,75
225,AB
226,4
227,2
228,77
229,AB
230,4
231,2
232,4
233,0
234,0
235,2
236,6
237,E8
238,5
239,2
240,75
241,AB
242,4
243,2
244,77
245,AB
246,4
247,2
248,4
249,0
250,0
251,2
252,6
253,80
254,5
255,2
256,75
257,AB
258,4
259,2
260,77
261,AB
262,4
263,2
264,4
265,0
266,0
267,2
268,6
269,20
270,5
271,2
272,75
273,AB
274,4
275,2
276,77
277,AB
278,4
279,2
280,4
281,0
282,0
283,2
284,6
285,D8
286,4
287,2
288,75
289,AB
290,4
291,2
292,77
293,AB
294,4
295,2
296,4
297,0
298,0
299,2
300,6
301,AA
302,4
303,2
304,75
305,AB
306,4
307,2
308,77
309,AB
310,4
311,2
312,4
313,0
314,0
315,2
316,6
317,84
318,4
319,2
320,75
321,AB
322,4
323,2
324,77
325,AB
326,4
327,2
328,4
329,0
330,0
331,2
332,6
333,66
334,4
335,2
336,75
337,AB
338,4
339,2
340,77
341,AB
342,4
343,2
344,4
345,0
346,0
347,2
348,6
349,52
350,4
351,2
352,75
353,AB
354,4
355,2
356,77
357,AB
358,4
359,2
360,4
361,0
362,0
363,2
364,6
365,48
366,4
367,2
368,75
369,AB
370,4
371,2
372,77
373,AB
374,4
375,2
376,4
377,0
378,0
379,2
380,6
381,3E
382,4
383,2
384,75
385,AB
386,4
387,2
388,77
389,AB
390,4
391,2
392,4
393,0
394,0
395,2
396,6
397,34
398,4
399,2
400,75
401,AB
402,4
403,2
404,77
405,AB
406,4
407,2
408,75
409,AB
410,4
411,2
412,77
413,AB
414,4
